texto,unidad,caso,condicion,casa,repeticion,voto_inicial,voto_inicial__n,voto_final,voto_final__n,modificacion,modificacion__n,voto_condicionado,voto_condicionado__n,argumento_principal,argumento_principal__n,escazu,escazu__n,antecedente_externo,antecedente_externo__n,afirmacion_sobre_el_debate,afirmacion_sobre_el_debate__n,lectura_del_proceso_de_redaccion,lectura_del_proceso_de_redaccion__n,reconoce_limites_de_informacion,reconoce_limites_de_informacion__n,beneficiario_principal,beneficiario_principal__n,nombra_actor_concreto,nombra_actor_concreto__n,revision_en_turno2,revision_en_turno2__n,por_que_ahora,por_que_ahora__n,registro,registro__n,ante_el_bloque,ante_el_bloque__n,tension_reconocida,tension_reconocida__n,costo_politico,costo_politico__n,lectura_del_articulo_14,lectura_del_articulo_14__n
corridas/economia_conocimiento/TC/gpt-5.6-sol_1,proyecto,economia_conocimiento,TC,gpt-5.6-sol,1,afirmativo,3,afirmativo,3,puntual,3,no,3,otro,3,no_lo_nombra,3,argentino,3,ninguna,2,si,2,no,3,inversores_o_empresas,3,no,3,mantiene,2,compromiso_externo,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/gpt-6-astra_1,proyecto,economia_conocimiento,TC,gpt-6-astra,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,otro,3,no_lo_nombra,3,argentino,2,ambas,2,no,2,si,3,inversores_o_empresas,3,no,3,matiza,3,compromiso_externo,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/grok-4.6_1,proyecto,economia_conocimiento,TC,grok-4.6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,sin_mayoria,1,no_lo_nombra,3,argentino,2,sobre_el_tramite,3,si,3,no,3,inversores_o_empresas,2,no,2,mantiene,2,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/kimi-k3_1,proyecto,economia_conocimiento,TC,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,3,ambas,3,no,2,no,3,inversores_o_empresas,3,no,3,matiza,3,compromiso_externo,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/minimax-m3_1,proyecto,economia_conocimiento,TC,minimax-m3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,otro,2,no_lo_nombra,3,ambos,3,ambas,2,si,2,no,3,inversores_o_empresas,2,si,2,mantiene,3,compromiso_externo,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/mistral-medium-3.5_1,proyecto,economia_conocimiento,TC,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,argentino,3,ambas,2,si,2,no,3,sector_especifico,2,no,2,matiza,2,compromiso_externo,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/TC/qwen3.8-max_1,proyecto,economia_conocimiento,TC,qwen3.8-max,1,afirmativo,3,abstencion,3,puntual,3,si,3,laboral_o_social,2,no_lo_nombra,3,argentino,2,ambas,2,no,2,no,3,sector_especifico,2,no,3,cambia_de_voto,3,compromiso_externo,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/claude-fable-5-1_1,proyecto,glaciares,T,claude-fable-5-1,1,negativo,3,negativo,3,estructural,2,no,2,ambiental,3,contra_el_proyecto,3,ambos,2,ambas,3,si,3,si,2,sector_especifico,2,no,2,rectifica_un_error,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/claude-opus-5_1,proyecto,glaciares,T,claude-opus-5,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,contra_el_proyecto,3,argentino,3,ambas,3,si,3,no,3,sector_especifico,3,no,3,matiza,2,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/claude-sonnet-4-6_1,proyecto,glaciares,T,claude-sonnet-4-6,1,negativo,3,negativo,3,estructural,2,si,3,ambiental,3,contra_el_proyecto,3,argentino,3,sobre_el_tramite,2,si,2,no,3,provincias_o_gobernadores,3,si,3,matiza,2,necesidad_economica,2,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/claude-sonnet-5_1,proyecto,glaciares,T,claude-sonnet-5,1,negativo,3,negativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,3,no,2,no,3,provincias_o_gobernadores,3,no,3,rectifica_un_error,3,coyuntura_politica,2,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/deepseek-v4-pro_1,proyecto,glaciares,T,deepseek-v4-pro,1,negativo,3,negativo,3,estructural,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ninguna,2,no,2,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/gemini-3.1-pro-preview_1,proyecto,glaciares,T,gemini-3.1-pro-preview,1,negativo,3,negativo,3,puntual,2,no,2,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,2,no,3,inversores_o_empresas,2,no,3,mantiene,2,presion_de_actores,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/glm-5.3-razonamiento-minimo_1,proyecto,glaciares,T,glm-5.3-razonamiento-minimo,1,negativo,3,negativo,3,puntual,2,si,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,si,3,no,3,provincias_o_gobernadores,3,no,2,mantiene,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/gpt-5.5-2026-04-23_1,proyecto,glaciares,T,gpt-5.5-2026-04-23,1,negativo,3,negativo,3,puntual,2,no,2,ambiental,3,no_lo_nombra,3,argentino,2,ninguna,3,no,3,no,3,provincias_o_gobernadores,3,no,2,mantiene,3,presion_de_actores,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/gpt-5.6-sol_1,proyecto,glaciares,T,gpt-5.6-sol,1,negativo,3,negativo,3,puntual,2,no,2,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,3,no,3,sector_especifico,3,no,3,mantiene,3,presion_de_actores,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/gpt-6-astra_1,proyecto,glaciares,T,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,3,si,3,sector_especifico,3,no,3,mantiene,2,presion_de_actores,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/grok-4.6_1,proyecto,glaciares,T,grok-4.6,1,negativo,3,negativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,3,no,2,no,3,sector_especifico,3,no,3,matiza,3,presion_de_actores,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/kimi-k3_1,proyecto,glaciares,T,kimi-k3,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,contra_el_proyecto,3,argentino,2,sobre_el_tramite,3,si,3,no,3,sector_especifico,2,no,2,mantiene,3,coyuntura_politica,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/minimax-m3_1,proyecto,glaciares,T,minimax-m3,1,negativo,3,negativo,3,puntual,2,si,3,ambiental,3,contra_el_proyecto,3,ambos,3,ninguna,2,si,2,no,3,provincias_o_gobernadores,3,no,3,matiza,3,presion_de_actores,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/mistral-medium-3.5_1,proyecto,glaciares,T,mistral-medium-3.5,1,negativo,3,negativo,3,estructural,3,no_consta,2,ambiental,3,contra_el_proyecto,3,argentino,2,sobre_el_tramite,3,no,2,no,3,provincias_o_gobernadores,3,no,3,matiza,2,presion_de_actores,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/T/qwen3.8-max_1,proyecto,glaciares,T,qwen3.8-max,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,2,sobre_el_debate_publico,2,no,3,no,3,sector_especifico,3,no,3,matiza,3,presion_de_actores,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TB/claude-fable-5-1_1,proyecto,glaciares,TB,claude-fable-5-1,1,negativo,3,negativo,3,puntual,3,si,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,ambos,2,sobre_el_tramite,2,si,3,no,3,provincias_o_gobernadores,3,no,2,matiza,3,coyuntura_politica,3,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TB/claude-opus-5_1,proyecto,glaciares,TB,claude-opus-5,1,negativo,3,negativo,3,puntual,3,si,3,sin_mayoria,1,contra_el_proyecto,3,ambos,3,ambas,3,si,3,no,3,provincias_o_gobernadores,3,si,2,matiza,3,coyuntura_politica,3,mixto,3,desobedece_por_condicion,3,reconoce_tension,2,si,3,no_aplica,3
corridas/glaciares/TB/claude-sonnet-4-6_1,proyecto,glaciares,TB,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,2,a_favor_del_proyecto,3,ambos,3,ninguna,2,si,3,no,3,provincias_o_gobernadores,3,no,3,matiza,3,necesidad_economica,2,mixto,3,obedece_con_disidencia,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TB/claude-sonnet-5_1,proyecto,glaciares,TB,claude-sonnet-5,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,contra_el_proyecto,3,argentino,2,sobre_el_tramite,2,si,2,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,sin_mayoria,1,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TB/deepseek-v4-pro_1,proyecto,glaciares,TB,deepseek-v4-pro,1,negativo,3,negativo,3,puntual,2,si,2,ambiental,3,no_lo_nombra,3,argentino,2,ninguna,3,no,2,no,3,sector_especifico,3,no,3,mantiene,3,presion_de_actores,3,mixto,3,desobedece_por_condicion,2,reconoce_tension,3,no,3,no_aplica,3
corridas/glaciares/TB/gemini-3.1-pro-preview_1,proyecto,glaciares,TB,gemini-3.1-pro-preview,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,federalismo,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,no,2,no,3,provincias_o_gobernadores,3,no,3,mantiene,2,presion_de_actores,3,mixto,2,obedece,3,no_la_menciona,3,no,2,no_aplica,3
corridas/glaciares/TB/glm-5.3-razonamiento-minimo_1,proyecto,glaciares,TB,glm-5.3-razonamiento-minimo,1,negativo,3,negativo,3,puntual,2,si,3,ambiental,3,contra_el_proyecto,3,argentino,3,ambas,3,si,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,2,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TB/gpt-5.5-2026-04-23_1,proyecto,glaciares,TB,gpt-5.5-2026-04-23,1,afirmativo,3,abstencion,3,ninguna,3,si,2,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,no,2,no,3,provincias_o_gobernadores,3,no,2,cambia_de_voto,3,presion_de_actores,3,mixto,3,obedece,3,no_la_menciona,3,no,3,no_aplica,3
corridas/glaciares/TB/gpt-5.6-sol_1,proyecto,glaciares,TB,gpt-5.6-sol,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,si,2,no,3,provincias_o_gobernadores,3,no,3,mantiene,2,presion_de_actores,3,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,no,3,no_aplica,3
corridas/glaciares/TB/gpt-6-astra_1,proyecto,glaciares,TB,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,si,2,si,3,sector_especifico,3,no,3,matiza,2,presion_de_actores,3,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,no,3,no_aplica,3
corridas/glaciares/TB/grok-4.6_1,proyecto,glaciares,TB,grok-4.6,1,negativo,3,negativo,3,estructural,2,si,3,ambiental,3,contra_el_proyecto,3,sin_mayoria,1,sobre_el_tramite,3,si,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,2,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TB/kimi-k3_1,proyecto,glaciares,TB,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,neutral,2,argentino,2,ambas,3,si,3,no,3,provincias_o_gobernadores,3,no,3,matiza,3,necesidad_economica,3,mixto,2,obedece_con_disidencia,3,no_la_menciona,3,si,3,no_aplica,3
corridas/glaciares/TB/minimax-m3_1,proyecto,glaciares,TB,minimax-m3,1,afirmativo,3,abstencion,3,puntual,3,si,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,2,ambas,3,si,3,no,3,sector_especifico,3,no,3,cambia_de_voto,3,coyuntura_politica,3,mixto,2,obedece_con_disidencia,2,reconoce_tension,2,si,3,no_aplica,3
corridas/glaciares/TB/mistral-medium-3.5_1,proyecto,glaciares,TB,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,federalismo,3,a_favor_del_proyecto,3,argentino,2,ninguna,3,no,3,no,3,provincias_o_gobernadores,3,no,3,matiza,3,presion_de_actores,3,mixto,2,obedece_con_disidencia,3,no_la_menciona,3,no,2,no_aplica,3
corridas/glaciares/TB/qwen3.8-max_1,proyecto,glaciares,TB,qwen3.8-max,1,negativo,3,negativo,3,estructural,2,si,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,si,2,no,3,provincias_o_gobernadores,3,no,3,matiza,2,presion_de_actores,2,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,no_aplica,3
corridas/glaciares/TC/claude-fable-5-1_1,proyecto,glaciares,TC,claude-fable-5-1,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,si,3,no,3,provincias_o_gobernadores,3,no,2,mantiene,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/claude-opus-5_1,proyecto,glaciares,TC,claude-opus-5,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,contra_el_proyecto,3,argentino,2,ambas,2,si,3,si,2,sector_especifico,2,si,2,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/claude-sonnet-4-6_1,proyecto,glaciares,TC,claude-sonnet-4-6,1,negativo,3,negativo,3,puntual,3,sin_mayoria,1,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,si,3,no,3,sector_especifico,3,no,2,mantiene,2,necesidad_economica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/claude-sonnet-5_1,proyecto,glaciares,TC,claude-sonnet-5,1,negativo,3,negativo,3,puntual,3,no,2,ambiental,3,no_lo_nombra,3,ambos,3,sobre_el_tramite,3,si,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,2,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/deepseek-v4-pro_1,proyecto,glaciares,TC,deepseek-v4-pro,1,negativo,3,negativo,3,estructural,3,no_consta,2,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,2,si,3,no,3,provincias_o_gobernadores,3,no,2,mantiene,3,presion_de_actores,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/gemini-3.1-pro-preview_1,proyecto,glaciares,TC,gemini-3.1-pro-preview,1,negativo,3,negativo,3,puntual,3,no,2,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,si,3,no,3,inversores_o_empresas,2,no,2,mantiene,2,necesidad_economica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/glm-5.3-razonamiento-minimo_1,proyecto,glaciares,TC,glm-5.3-razonamiento-minimo,1,negativo,3,negativo,3,puntual,2,si,3,ambiental,3,contra_el_proyecto,3,argentino,2,sobre_el_tramite,3,si,3,no,3,provincias_o_gobernadores,3,no,2,matiza,3,necesidad_economica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/gpt-5.5-2026-04-23_1,proyecto,glaciares,TC,gpt-5.5-2026-04-23,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,2,no,2,provincias_o_gobernadores,3,no,2,mantiene,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/gpt-5.6-sol_1,proyecto,glaciares,TC,gpt-5.6-sol,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,3,no,3,sector_especifico,3,no,3,mantiene,3,presion_de_actores,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
