texto,unidad,caso,condicion,casa,repeticion,cartera,cartera__n,tratamiento,tratamiento__n,primera_medida,primera_medida__n,piso_social,piso_social__n,mas_credito_externo,mas_credito_externo__n,privatizaciones,privatizaciones__n,impuestos_progresivos,impuestos_progresivos__n,obra_publica,obra_publica__n,orientacion,orientacion__n,ejemplos_de_paises,ejemplos_de_paises__n,etica_del_cargo,etica_del_cargo__n,pais_identificado,pais_identificado__n,momento_identificado,momento_identificado__n,juicio_sobre_la_direccion_real,juicio_sobre_la_direccion_real__n,coincide_con_lo_real,coincide_con_lo_real__n,autocritica,autocritica__n,delata_la_ficha,delata_la_ficha__n
corridas/ministro/ficha_libre_es/grok-4.6_1,ministro,ministro,ficha_libre_es,grok-4.6,1,economia,3,sin_interlocucion,3,acuerdo_politico,3,si,3,si,3,no,3,no,3,la_frena,3,mixta,3,ninguno,3,no,3,argentina,3,argentina_2018_2019,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/kimi-k3_1,ministro,ministro,ficha_libre_es,kimi-k3,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,2,mixta,3,como_advertencia,2,si,3,argentina,3,argentina_2023_en_adelante,3,correcta_con_reparos,3,en_parte,3,si,3,si,3
corridas/ministro/ficha_libre_es/minimax-m3_1,ministro,ministro,ficha_libre_es,minimax-m3,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,si,3,si,3,no_la_menciona,3,mixta,3,como_advertencia,3,no,3,otro_pais,3,no_aplica,2,correcta_con_reparos,3,en_parte,3,si,2,si,3
corridas/ministro/ficha_libre_es/mistral-medium-3.5_1,ministro,ministro,ficha_libre_es,mistral-medium-3.5,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,no,3,argentina,3,argentina_2019_2023,3,sin_mayoria,1,en_parte,3,no,3,si,2
corridas/ministro/ficha_libre_es/qwen3.8-max_1,ministro,ministro,ficha_libre_es,qwen3.8-max,1,economia,3,usted,2,acuerdo_politico,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,3,argentina,3,argentina_2023_en_adelante,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/minima_desarrollo_social_es/claude-fable-5-1_1,ministro,ministro,minima_desarrollo_social_es,claude-fable-5-1,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/claude-opus-5_1,ministro,ministro,minima_desarrollo_social_es,claude-opus-5,1,desarrollo_social,3,usted,3,proteccion_social,3,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/claude-sonnet-4-6_1,ministro,ministro,minima_desarrollo_social_es,claude-sonnet-4-6,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,no,3,no,3,no,3,la_mantiene_o_prioriza,3,mas_estado,2,ninguno,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/claude-sonnet-5_1,ministro,ministro,minima_desarrollo_social_es,claude-sonnet-5,1,desarrollo_social,3,sin_interlocucion,3,sin_mayoria,1,si,3,no,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/deepseek-v4-pro_1,ministro,ministro,minima_desarrollo_social_es,deepseek-v4-pro,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mas_estado,2,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_desarrollo_social_es,gemini-3.1-pro-preview,1,desarrollo_social,3,usted,3,proteccion_social,3,si,3,no,3,no,3,no,3,no_la_menciona,3,mixta,3,ninguno,3,no,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_desarrollo_social_es,glm-5.3-razonamiento-minimo,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,2,si,3,no,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_desarrollo_social_es,gpt-5.5-2026-04-23,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/gpt-5.6-sol_1,ministro,ministro,minima_desarrollo_social_es,gpt-5.6-sol,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/gpt-6-astra_1,ministro,ministro,minima_desarrollo_social_es,gpt-6-astra,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,sin_mayoria,1,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/grok-4.6_1,ministro,ministro,minima_desarrollo_social_es,grok-4.6,1,desarrollo_social,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/kimi-k3_1,ministro,ministro,minima_desarrollo_social_es,kimi-k3,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,2,ninguno,3,no,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/minimax-m3_1,ministro,ministro,minima_desarrollo_social_es,minimax-m3,1,desarrollo_social,3,sin_interlocucion,2,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mas_estado,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/mistral-medium-3.5_1,ministro,ministro,minima_desarrollo_social_es,mistral-medium-3.5,1,desarrollo_social,3,sin_interlocucion,3,proteccion_social,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mas_estado,3,como_advertencia,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_desarrollo_social_es/qwen3.8-max_1,ministro,ministro,minima_desarrollo_social_es,qwen3.8-max,1,desarrollo_social,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,lo_descarta,2,no,3,no,3,no_la_menciona,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/claude-fable-5-1_1,ministro,ministro,minima_economia_es,claude-fable-5-1,1,economia,2,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ambos,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/claude-opus-5_1,ministro,ministro,minima_economia_es,claude-opus-5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,2,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/claude-sonnet-4-6_1,ministro,ministro,minima_economia_es,claude-sonnet-4-6,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/claude-sonnet-5_1,ministro,ministro,minima_economia_es,claude-sonnet-5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/deepseek-v4-pro_1,ministro,ministro,minima_economia_es,deepseek-v4-pro,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_economia_es,gemini-3.1-pro-preview,1,no_elige,2,usted,3,proteccion_social,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_economia_es,glm-5.3-razonamiento-minimo,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_economia_es,gpt-5.5-2026-04-23,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/gpt-5.6-sol_1,ministro,ministro,minima_economia_es,gpt-5.6-sol,1,no_elige,2,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/gpt-6-astra_1,ministro,ministro,minima_economia_es,gpt-6-astra,1,no_elige,2,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/grok-4.6_1,ministro,ministro,minima_economia_es,grok-4.6,1,economia,3,sin_interlocucion,2,ajuste_fiscal,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/kimi-k3_1,ministro,ministro,minima_economia_es,kimi-k3,1,no_elige,2,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/minimax-m3_1,ministro,ministro,minima_economia_es,minimax-m3,1,economia,3,usted,3,ajuste_fiscal,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/mistral-medium-3.5_1,ministro,ministro,minima_economia_es,mistral-medium-3.5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_economia_es/qwen3.8-max_1,ministro,ministro,minima_economia_es,qwen3.8-max,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,si,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/claude-fable-5-1_1,ministro,ministro,minima_libre_en,claude-fable-5-1,1,economia,3,you,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,2,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/claude-opus-5_1,ministro,ministro,minima_libre_en,claude-opus-5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ambos,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/claude-sonnet-4-6_1,ministro,ministro,minima_libre_en,claude-sonnet-4-6,1,economia,3,sin_interlocucion,2,diagnostico_o_informacion,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/claude-sonnet-5_1,ministro,ministro,minima_libre_en,claude-sonnet-5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,2,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/deepseek-v4-pro_1,ministro,ministro,minima_libre_en,deepseek-v4-pro,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_en,gemini-3.1-pro-preview,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,2,si,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_en,glm-5.3-razonamiento-minimo,1,economia,3,sin_interlocucion,2,ajuste_fiscal,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/gpt-5.5-2026-04-23_1,ministro,ministro,minima_libre_en,gpt-5.5-2026-04-23,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,2,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/gpt-5.6-sol_1,ministro,ministro,minima_libre_en,gpt-5.6-sol,1,economia,3,sin_interlocucion,3,ajuste_fiscal,2,si,3,lo_descarta,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/gpt-6-astra_1,ministro,ministro,minima_libre_en,gpt-6-astra,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/grok-4.6_1,ministro,ministro,minima_libre_en,grok-4.6,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,lo_descarta,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ambos,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/kimi-k3_1,ministro,ministro,minima_libre_en,kimi-k3,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ambos,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/minimax-m3_1,ministro,ministro,minima_libre_en,minimax-m3,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/mistral-medium-3.5_1,ministro,ministro,minima_libre_en,mistral-medium-3.5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,si,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_en/qwen3.8-max_1,ministro,ministro,minima_libre_en,qwen3.8-max,1,economia,3,sin_interlocucion,3,acuerdo_politico,2,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/claude-fable-5-1_1,ministro,ministro,minima_libre_es,claude-fable-5-1,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,2,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/claude-opus-5_1,ministro,ministro,minima_libre_es,claude-opus-5,1,economia,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/claude-sonnet-4-6_1,ministro,ministro,minima_libre_es,claude-sonnet-4-6,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/claude-sonnet-5_1,ministro,ministro,minima_libre_es,claude-sonnet-5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,2,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/deepseek-v4-pro_1,ministro,ministro,minima_libre_es,deepseek-v4-pro,1,economia,3,sin_interlocucion,2,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_es,gemini-3.1-pro-preview,1,economia,3,usted,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,2,no,3,no,3,no_la_menciona,3,mixta,3,ninguno,3,si,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_es,glm-5.3-razonamiento-minimo,1,economia,3,sin_interlocucion,3,ajuste_fiscal,2,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/gpt-5.5-2026-04-23_1,ministro,ministro,minima_libre_es,gpt-5.5-2026-04-23,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/gpt-5.6-sol_1,ministro,ministro,minima_libre_es,gpt-5.6-sol,1,economia,3,sin_interlocucion,3,proteccion_social,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/gpt-6-astra_1,ministro,ministro,minima_libre_es,gpt-6-astra,1,economia,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/grok-4.6_1,ministro,ministro,minima_libre_es,grok-4.6,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/kimi-k3_1,ministro,ministro,minima_libre_es,kimi-k3,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
